"Date","W Goal","Pd","Time","Total","Average","Vis:","Dec","Scr","Home:","Dec","Scr","W Goalie","L Goalie"
"Nov 23 '13","Jamie McGinn","OT","02:32",03:56:13,00:02:25,"COL","W",1,"LAK","O",0,"Semyon Varlamov","Ben Scrivens"
"Nov 23 '13","David Krejci","OT","01:28",03:57:41,00:02:24,"CAR","O",2,"BOS","W",3,"Chad Johnson","Cam Ward"
"Nov 22 '13","Ryan Getzlaf","OT","04:54",04:02:35,00:02:26,"TBL","O",0,"ANA","W",1,"Jonas Hiller","Ben Bishop"
"Nov 21 '13","Jaromir Jagr","OT","02:30",04:05:05,00:02:26,"NJD","W",2,"LAK","O",1,"Cory Schneider","Ben Scrivens"
"Nov 21 '13","Ryan O'Reilly","OT","04:18",04:09:23,00:02:27,"COL","W",4,"PHX","O",3,"Semyon Varlamov","Mike Smith"
"Nov 20 '13","Nikita Nikitin","OT","02:25",04:11:48,00:02:27,"CBJ","W",2,"CGY","O",1,"Sergei Bobrovsky","Reto Berra"
"Nov 20 '13","Travis Zajac","OT","01:58",04:13:46,00:02:26,"NJD","W",4,"ANA","O",3,"Martin Brodeur","Jonas Hiller"
"Nov 14 '13","Dan Boyle","OT","02:38",04:16:24,00:02:27,"SJS","W",2,"VAN","O",1,"Antti Niemi","Roberto Luongo"
"Nov 14 '13","Milan Lucic","OT","04:11",04:20:35,00:02:28,"CBJ","O",2,"BOS","W",3,"Chad Johnson","Sergei Bobrovsky"
"Nov 12 '13","Brad Stuart","OT","01:13",04:21:48,00:02:27,"SJS","W",3,"CGY","O",2,"Alex Stalock","Reto Berra"
"Nov 12 '13","Oliver Ekman-Larsson","OT","00:56",04:22:44,00:02:26,"PHX","W",3,"STL","O",2,"Mike Smith","Jaroslav Halak"
"Nov 12 '13","Alex Ovechkin","OT","01:34",04:24:18,00:02:25,"CBJ","O",3,"WSH","W",4,"Braden Holtby","Sergei Bobrovsky"
"Nov 09 '13","Teddy Purcell","OT","03:51",04:28:09,00:02:26,"TBL","W",3,"DET","O",2,"Ben Bishop","Jimmy Howard"
"Nov 07 '13","Rich Peverley","OT","04:41",04:32:50,00:02:27,"DAL","W",4,"DET","O",3,"Kari Lehtonen","Jimmy Howard"
"Nov 05 '13","Manny Malhotra","OT","02:40",04:35:30,00:02:28,"PHI","O",1,"CAR","W",2,"Justin Peters","Steve Mason"
"Nov 05 '13","Mark Arcobello","OT","01:55",04:37:25,00:02:27,"EDM","W",4,"FLA","O",3,"Devan Dubnyk","Jacob Markstrom"
"Nov 03 '13","Kris Russell","OT","01:32",04:38:57,00:02:27,"CGY","W",3,"CHI","O",2,"Reto Berra","Corey Crawford"
"Nov 01 '13","Paul Stastny","OT","03:36",04:42:33,00:02:27,"COL","W",3,"DAL","O",2,"Semyon Varlamov","Kari Lehtonen"
"Oct 30 '13","Anze Kopitar","OT","02:32",04:45:05,00:02:27,"SJS","O",3,"LAK","W",4,"Jonathan Quick","Antti Niemi"
